Date,01,10,14,25,26,27,28,32,45,46,47,49,52,63,68,73,77,79,86,93,16,22,31,38,41,96,62,69,82,23,43,72,94,18,20,24,61,70,17,74
2020-11-01,419298.07591,147094.46899,4.02869,14919.71146,5311.47336,43733.38623,78183.97923,10614.51215,12447.63049,538537.86107,243089.25524,21396.8658,52140.49122,3991.4457,13111.61686,21383.42993,11288.03262,10657.66649,64860.97818,3125.76748,,,,,,,,,,,,,,,,,,,,
2020-12-01,432691.56045,162281.20366,,15138.67019,4629.03279,49106.44612,103783.44895,4606.81783,13198.65039,537496.56756,202578.16353,24610.67977,52770.76214,7179.09075,125946.20189,16236.32215,9963.99442,11341.66009,64205.95482,2453.97131,,,,,,,,,,,,,,,,,,,,
2021-02-01,443158.07708,148755.60539,,464.14357,4530.5137,40509.58906,164766.41161,,14848.57839,579550.11254,234016.56686,24436.01811,52451.25556,4078.02001,124232.5918,12081.53939,7641.06642,10972.77256,62494.40759,,,84798.81015,,,,,,,,,,,,,,,12929.69591,,,
2021-03-01,497034.62527,151627.6984,,417.34412,4524.41097,40460.27398,179978.43228,,19823.76762,621416.45579,227620.69794,25556.08323,17974.1157,4631.70746,111655.2151,13170.41981,6709.39404,11670.64708,57872.96429,,,84904.38754,,,,,,,,,,,,,,,12921.93231,,,
2021-04-01,430299.32073,146065.51678,,369.94121,4530.5137,40509.58906,184820.21933,,27364.08392,651750.25251,198026.04578,21056.68038,6021.28769,2318.34748,111095.72153,16676.81885,5875.13195,11975.13634,57447.65364,,,102549.92821,,,,,,,,,5909.15107,,,16339.02755,9201.34171,,12200.089,0.005,,
2021-05-01,443733.06516,168636.19739,,278.76558,4537.02329,40493.15068,189207.9191,,72478.39323,679494.39803,244137.96702,20952.35932,6018.24659,2771.54036,110559.59612,25833.06512,5036.01506,12030.26377,57066.09333,,,103381.64166,,,,,,,,,5699.64677,,,16344.64116,12025.21616,7022.95616,11829.87658,,,
2021-06-01,513809.89608,248209.73261,,278.57662,4538.7863,40509.58906,186909.10958,,70522.98883,652924.86659,311894.22559,27799.27477,6018.41095,654.5204,109595.68997,25083.14548,4373.28714,12926.09697,56688.47987,,,100727.57162,,,,,,,,,10028.86575,,,16364.72868,12068.08555,7056.11507,11469.08386,,,
2021-07-01,596777.76713,191297.0363,,232.08397,4537.02329,40493.15068,180050.62406,,69565.46048,895091.28719,328453.43519,28981.40049,5815.69316,279.90777,113943.43806,29181.19619,3711.37408,12850.16843,55707.54986,12072.79999,,93360.98491,,7361.91843,,,,,,,10075.7726,,,16156.43549,11992.47361,7053.56438,11098.81311,,,
2021-08-01,606362.97604,194450.69821,,185.8858,4537.56575,,178002.53432,,75593.21,819244.11428,285665.88853,29561.98766,5817.79725,311.48064,119466.71128,27281.09693,3068.40109,12881.09054,55435.86688,16786.96794,,91404.3701,,7413.30834,,,,,,,10077.93425,,,15994.35597,11950.58618,7056.03068,11109.16253,,,
2021-09-01,609272.78064,205638.94327,,139.29446,4537.56575,,174996.62921,,95317.94178,786015.90454,313070.08682,28691.47911,5417.09588,315.05713,119424.15991,28373.91989,2461.21191,14341.42772,53683.46186,17864.85917,,128022.57912,,7272.13963,15012.32877,,,,,,10077.45205,,,15608.89319,8372.37723,7054.21644,10371.38589,,,
