Date,00,01,03,10,11,14,15,16,17,20,21,22,23,24,25,27,28,29,33,35,36,42,43,45,46,47,49,52,55,56,58,59,62,63,64,68,73,77,79,81,82,86,94,38,41,93,09,26,30,70,74,78,80,91,31,18,66,71,13,85,08,69,61
2020-12-01,263877.10523,236032.43684,1216.61834,642048.30812,152991.95779,,1209.33937,7637.16728,108894.48866,1202.32054,114349.28369,70131.33118,6984.99362,58134.11733,7632.62165,41004.50183,18073.23848,15.1111,48904.28839,472059.53931,15.5648,33004.15522,846.83078,35630.75026,3344259.33508,163479.32106,9893.08976,729764.12639,71265.3956,1175.8504,189.23179,50568.29965,,102.27543,164250.48957,376291.52721,1969.30986,205701.33836,1.80357,6870.51585,2237.75263,9250.08423,434.698,,,472.26685,,,,,,,,,1387.18576,,,,,,,,
2021-02-01,261343.98705,273135.44732,760.95929,637293.42776,138375.05372,,1214.46723,6849.58214,66691.18544,2950.43196,34293.99908,77208.45934,5979.68406,74305.93299,2793.90567,42500.17538,30224.10585,,41480.15299,493506.52759,18.9629,23043.10529,1337.46735,23735.06538,3089995.09164,127013.37449,5694.71764,854300.69886,71631.31481,1107.0083,147.50349,50274.72634,7.2,,155019.45588,405762.44393,,222611.73463,4.05361,9739.12351,2239.52411,8732.07935,309.0396,,5116.27444,3525.51994,,,,223953.69444,,,1063.34725,,2522.66455,5010.45938,40.0,,,,,,
2021-03-01,258913.7746,280004.66727,255.10125,648611.66628,134584.58903,8018.1877,1213.05921,6224.82756,64889.70853,3860.60196,34240.72931,55254.67181,5353.46765,73562.57419,2500.67431,42074.47772,17270.90149,5009.51284,50541.26174,529340.88566,12.28619,22790.15633,1436.39436,17514.74553,3249247.9817,139256.13827,9401.43081,850895.61709,72434.40029,1112.31416,126.44631,50260.36638,,25002.02216,154093.35313,425997.18339,,214557.58217,34.01667,9032.19318,2237.07455,8644.91107,244.4967,,7656.15971,4611.92782,,,,225133.20486,,,1069.91162,,4456.41084,5007.07535,40.0,,,,,,
2021-04-01,258503.37791,288806.58035,0.40139,667682.0239,138801.90873,8864.78239,1191.70033,5626.57113,65456.31812,3752.87197,68465.18536,36921.34081,4110.52808,72941.70167,193046.97783,42025.93187,10201.79527,53.33334,45240.38982,409584.37031,15.79327,23318.9015,2366.1416,20719.10038,3426116.40094,169523.07466,8777.66965,855706.41447,74118.07936,1112.78251,105.71033,50186.99849,,25219.36834,153668.41646,637675.21703,,72501.76638,47.92577,9449.51982,2240.22016,9165.06368,180.68738,,17666.39716,5495.31713,,,,,,,995.11929,,4410.56042,5863.96711,40.0,2.85755,74917.09018,,,,
2021-05-01,257256.02342,291588.82762,,690762.85136,138666.23895,1136.46531,1192.84927,5003.95514,50284.9378,3754.7763,68589.83391,62781.34497,3642.28705,72215.28414,233315.19792,41815.73657,28147.54774,8865.6147,45464.6865,523984.99374,9.70965,24347.92165,3379.94785,29266.12935,3711542.8099,174280.82309,10826.73108,857759.90197,67840.24429,1111.86243,84.62514,50207.70981,0.72711,,153404.52906,646552.10513,,70453.20643,70.73287,5976.95711,2230.03679,12841.92223,116.54337,,18822.98681,6154.023,,,,,,,963.73861,,4272.88307,5728.02984,40.0,504.99795,67269.42073,,,,
2021-06-01,254946.96029,281115.66098,,685411.54031,138547.8638,8842.88318,1195.12536,4442.31819,49625.66833,3679.67063,67738.90644,95171.66173,65014.3464,69438.70515,247815.11545,41446.14187,18263.48839,7953.32129,43377.46806,507261.35816,0.07584,22873.22096,4668.77193,30612.36769,3735033.96761,183685.83973,13048.09777,795166.49724,67625.9419,,63.61975,50265.27363,,,153056.43714,591781.8539,,68430.62231,9.07368,6240.36639,2211.23696,13553.09795,52.4012,,18589.69541,5106.99839,,,,,,,6471.88139,,4075.38844,5595.22127,40.0,5.41667,,,,,
2021-07-01,256022.37644,342348.67243,,661232.28706,143316.11834,18469.9918,1196.5162,3768.80035,47635.72701,4586.39213,65575.78824,97916.88556,56439.41723,64698.41328,249762.86736,40951.38625,29119.28048,11482.14627,54044.93999,548799.24914,,30831.63749,4790.90902,88653.94874,3988786.46679,173329.30893,12429.46174,793867.9355,66660.97046,,42.51267,50286.83061,0.00196,,152471.17065,569613.06414,,66307.94987,0.20117,13.2213,2180.32001,13188.6781,,,18174.5503,3300.91237,,,,,,,7204.4704,,3873.46564,5425.59955,40.0,,,,,,
2021-08-01,253298.38865,436851.22824,1198.5023,740529.4195,147706.26598,32054.36933,1198.7898,3250.72413,40506.34182,3856.1687,64876.05432,89801.49711,49118.33786,65184.99141,241996.86404,40521.08753,28966.22072,16702.61271,47237.51411,545167.95634,0.10616,24637.18269,3892.57577,31193.01687,3935649.80447,285178.42186,11638.20558,637098.1409,59104.498,,21.4047,50343.47277,2.05359,,152044.68195,548227.31157,,64254.15033,54.95561,9849.11774,2141.23589,12628.91326,0.01231,,16201.04188,1755.44779,,,,,,,6949.94465,,3673.81026,5258.2728,40.0,,,4913.51273,,,
2021-09-01,253111.48794,509813.62269,2735.41328,722607.97113,153992.32688,34897.52378,833.42797,2234.30763,38394.99391,4104.82836,65292.02301,83428.85881,54695.54797,61670.95629,219862.92871,40480.93407,27239.03316,21937.458,54153.7768,549411.23578,3.3014,211759.6253,6017.38186,29882.44775,4016371.40601,265919.91454,10301.90375,808965.15929,55141.76604,,,49994.08144,0.0123,,152042.46881,524871.49542,,62220.62716,32.47825,12219.05159,2062.5592,11882.67442,,1994.1097,15911.89505,502.06458,,,,,,,6913.23361,,3474.31452,5090.68144,40.0,,,4924.39942,,,
2021-10-01,251299.2933,623651.29757,2949.14745,766204.30538,127045.32117,49560.15041,991.69162,1660.71957,36312.02,14313.60806,62009.16673,90539.19965,59325.68142,58120.08988,213749.4817,40046.6037,20259.25233,24764.27162,55974.64715,389621.33309,0.08129,25448.10363,5520.55733,24287.1453,4036409.138,245415.99778,9862.39798,800600.29569,50978.91051,,,49462.4576,0.37766,,151527.45357,515992.43959,,52712.34321,163.22508,10841.55444,1982.45667,11319.00892,,2008.48387,16757.98958,464.15649,,,,,,,6471.79551,,3272.62405,4924.2765,40.0,,1984.94812,4844.16441,40230.12463,,
