Date,01,03,06,08,10,11,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,37,38,41,42,43,45,46,47,49,51,52,55,56,61,64,68,70,71,73,77,86,96,00,19,50,58,62,72,75,85,05,36,65,66,69,80,02,09,81,79,07
2021-06-01,1574885.95521,3818.24639,,137180.0789,9688441.89862,2543575.70534,379106.17932,,,144661.66491,207037.59801,1498721.0887,1015496.33489,27203.51835,1049169.36459,780323.67858,8222171.0419,354311.44955,,4073197.93638,2445446.19692,871036.58858,359535.47684,92080.05797,20894.36065,20454.06415,17212023.08607,,49200.90278,1268325.10256,661380.354,13915.24635,245121.60223,8398357.50834,17570.21021,1894708.37323,65101.756,733834.65603,4421663.42809,,488.74699,44934.18876,8284076.78525,4156348.42036,1015.35952,,227334.57268,9081.91105,824.98517,,1.36134,,,,,,,764967.49664,1944.71053,11847.40139,,1160.30231,145.50057,,,,,
2021-04-01,1175534.88859,3814.90237,,137167.1966,9668526.63741,2930559.78639,343731.4346,,,127077.10331,205090.87806,1484736.12299,10944553.672,20303.51226,1045163.30097,1002324.45847,9043431.874,325147.74785,,4003200.46596,2477427.28265,862825.93617,390234.99656,74715.17336,607.19867,12608.77834,16735386.58135,1814.41574,1516.34399,1201429.11909,605733.74688,20789.02158,240296.51065,8253172.90716,100258.03716,2111858.29184,,747125.12735,4403128.30526,,484.04819,47533.97703,8676316.12038,4207304.68308,1007.75954,305.52236,80107.50674,4142.11071,864.15085,,117.6675,,,,,,,,,,,1202.06528,,1026.28112,,,,
2021-05-01,1310531.72984,3817.21999,,135665.42238,9713899.16518,2618621.86378,384421.03585,,,144788.73546,210157.35435,1524826.85711,10910090.29154,34890.34189,1063478.20457,898080.98875,8516208.47805,332426.48325,,4072420.83663,2471576.61041,867331.4411,384884.79,91204.77587,606.51543,15653.12666,17455633.14564,,1640.51646,1225215.40169,604252.22717,18744.93945,237425.87368,8400955.99599,101462.31309,2075778.73425,,750721.7916,4425234.22562,,488.59542,47573.65444,8318015.6402,4188739.79563,1015.35952,74.25776,79629.34148,3840.36182,844.24271,,2.74774,,,,,,,1527228.84513,1906.03316,,,1180.63652,,1682.38736,,,,
2021-09-01,2060927.54169,3812.11002,2741858.70681,171172.61753,9913132.66091,2418981.15808,417894.7199,12117.86193,,87521.17619,208411.63774,1463899.66326,991680.6174,29651.67411,989581.95259,743677.90732,8144228.51624,361273.79211,68053.98578,3932301.55514,2260623.05692,945460.01456,286703.76982,92139.85075,20686.90746,14390.57832,16207250.74773,,68361.96483,1262063.06413,2333521.5125,18868.11488,283627.10976,7545124.18529,2362718.48472,1832524.92492,375889.37856,722717.46059,2602785.62835,,488.74699,95825.56455,9173752.84482,4078962.47488,1015.35952,186.19279,227020.8693,8263.0479,766.65626,317137.32965,1.29872,,,2.00781,481710.95113,,,294712.73551,1959.24044,11345.162,2719.05102,1090.53677,23.39813,0.98793,,,,
2021-10-01,2092229.76157,3118.87919,2755809.82595,184211.21509,10162283.69252,2495548.91122,426166.5833,12169.60478,,87072.48515,203454.4295,1440076.18446,980286.06451,28567.98058,992706.26015,606787.87027,8051337.27132,360368.76606,68057.58184,3747408.03773,2229311.80884,971746.1547,352382.81102,91601.19009,20055.01843,13489.48866,15868438.15846,,70568.11731,1277044.50848,2024221.97781,17618.79978,310247.39976,8022625.92915,2284537.64031,1814687.04103,494889.08081,710537.76573,2618564.69189,,488.74699,134895.13668,9045384.03716,4035455.9106,1015.35952,186.16204,221026.95406,80046.8512,747.19923,310661.9775,137.05277,,,3.83482,530056.62231,,,293682.40375,1127.44274,11083.85143,6557.12599,988.44406,0.19495,2.29883,4506.85948,,,
2021-11-01,2219866.03905,2706.31122,1362788.44796,187547.74009,10740019.89918,2533496.57172,419576.2573,11009.86304,,87848.47584,199855.88188,1424850.60815,973266.56362,26754.57172,986434.60645,627160.80095,7957628.98139,358613.71505,68112.80121,3703905.59726,2197006.8644,996688.54153,339323.68088,87848.83987,19570.5233,15037.53909,15700891.00096,,4767.96572,1345556.88448,2423413.09543,17576.67971,295481.6683,7828961.88016,2286648.59327,1786320.72318,495108.42205,702710.20307,2635625.02643,,488.74699,221951.83721,9017010.93086,4006299.56745,1015.35952,186.30995,218275.68195,94304.57972,728.27709,305898.79937,0.27428,,,3.81731,522558.53124,,,292916.80265,1813.1351,12714.35902,6578.76865,968.21406,,1.08457,4607.71056,,,
2021-08-01,1802482.87584,3671.3259,,139585.73777,9893091.77462,2500230.82487,421317.09458,11000.31686,,87596.813,198119.96115,1465586.05674,991729.70608,32360.61507,990422.5514,534688.653,8151552.19239,345944.4992,67902.17014,3947944.05744,2261466.56533,929681.61739,299309.37064,92223.64928,20610.85536,14760.38453,16674894.55839,,62924.13084,1299304.81723,1460924.89942,21851.97269,287957.97846,6715210.19341,1118075.37263,1843595.87315,315329.28884,731105.87075,2587069.07071,,488.74699,76334.11227,9131305.91114,4076823.64724,1015.35952,186.14524,210453.51723,8494.30594,786.18696,,1.59835,,,2.96049,,,,293891.43109,2008.5591,11603.559,2717.64141,1111.48386,73.56214,,,,,
2021-03-01,1571118.26981,3811.1703,,134742.77424,9888090.78291,2876427.74615,347481.41718,,,113408.82584,214876.64975,1518403.1282,11236684.37524,32971.60207,1036604.72374,1017455.38064,8999677.82813,316616.72129,30246.43792,4066244.61191,2472739.15304,1067776.67263,397935.72919,73139.56972,606.74011,9727.31175,13982490.67609,1824.48047,1523.17053,1199960.46977,526881.11769,21754.0494,254251.32477,9200860.38779,97598.68732,2144399.33081,,742310.73303,4382323.58393,201.2966,479.04624,51416.33156,8731828.24356,4228656.37093,21604.73383,322.67035,80360.78463,4245.43966,882.47372,,,,,,,,,,,,,1195.96807,,,,,,
2021-12-01,2427400.3459,2117.24084,2815385.99896,190305.24412,10484129.99226,2535774.98743,427068.88759,11521.46866,,90214.78578,198342.00306,54638.31133,1640694.81072,50619.68617,994341.74838,738730.02046,1202518.6739,364629.48085,69056.30233,661427.87659,2257165.66683,1036527.73733,344080.87004,89659.06836,20251.15726,15229.97747,15445948.01665,,4498.0952,1308485.72781,2443915.21284,18183.68802,298598.46796,7960509.26135,2297102.74516,1758023.1045,484602.67648,725179.75246,2651749.56475,,488.74699,209239.98956,7033850.0592,4139440.99995,1015.35952,186.30589,342613.74606,142411.16508,708.84435,307323.82275,,,,857.71692,582398.18958,,,299944.63402,1676.86039,11898.19479,6578.38902,947.22518,,1.45578,3657.08802,474.92575,,
2021-02-01,1646740.04469,3815.26682,2228.58423,133566.07002,9913832.44886,2896235.56843,347882.30048,4680.78839,,167471.65487,216224.38969,1517622.47742,11292531.98139,26962.95848,1014529.36547,942763.50547,8157780.41367,311405.37323,30245.25397,4073250.10247,2639213.8908,1038846.30723,489274.9707,71545.22754,608.15939,10625.92675,14193781.18129,,1515.3755,1236119.07095,520376.08639,21481.22856,292221.92635,9293462.91058,213942.57419,2182105.77125,,744563.77851,4387781.11177,201.52853,474.80216,53912.56815,8481665.81032,4275682.83087,21795.94862,323.18814,80915.66258,4356.77927,902.80712,,,,,,,,,,,,,,,,,,,
2022-02-01,2654872.06106,839.62478,2828128.22641,182488.77607,10475770.4092,2540622.29851,500393.61659,5031.26372,,83878.14067,206957.53988,49235.66868,1533737.34366,94249.35922,1073239.02183,751328.47705,1283503.26053,367154.75424,71254.59196,696591.99226,2359030.20371,990127.13862,350087.18584,87242.25376,47495.5576,12225.27298,16135929.66232,,4301.8402,1360027.85028,784819.58115,18230.45917,326436.17829,10030186.86254,2188185.28249,1685850.38498,766157.45582,739037.78571,2675742.65445,,114779.87192,203534.83392,7333643.9363,4390329.72308,4581.2858,185.66059,639210.97187,156911.17569,666.10421,321203.16605,,,,1.72222,605392.35004,,,313667.59712,12815.50467,13954.08115,7754.86027,906.10253,,1003.12682,2.15278,29038.70935,14.54438,
2022-03-01,2726076.30437,756.65327,2825696.38573,186473.67394,10729486.38961,2540815.94355,510688.59104,16200.75836,,85515.51524,218733.42231,52842.88173,1561436.48091,88462.93325,1096149.17258,1039337.71814,1365281.69315,376624.36307,69189.72611,635366.61012,2467099.78666,995651.7085,345417.61655,85077.21297,47396.01067,10166.42915,16428782.51195,,6196.38272,1400597.71765,1117593.186,16600.77478,341539.74685,10403326.26091,2194453.07588,1676964.8612,773947.69662,752265.53681,2689733.66106,,120367.38883,158023.28992,7491864.39615,4487735.21185,4578.16345,183.46405,647931.15772,162865.52301,665.31351,332558.38141,,,,5949.06648,622908.16658,,,318091.09013,10990.99122,11779.31525,7610.8747,884.21489,,962.6913,1.94444,33838.16066,3.11111,16.25285
2022-01-01,2666785.14731,291.0469,2828089.62357,184981.89727,10155504.76089,2464104.76503,445305.48255,10028.51179,,86616.5177,199653.34734,52893.57287,1647955.65896,58085.65823,1007466.1403,759313.90566,1265718.03422,360617.36181,70037.219,664075.34967,2241615.13762,1076971.18001,356112.41104,91555.21615,45896.83203,13342.68935,15793074.18344,,4399.49583,1282895.2861,1144636.17107,13139.72629,305428.37767,9223045.39734,2217821.68643,1724807.61836,763216.03479,701218.77024,2659439.59196,,488.74699,108778.44818,7036918.13951,4156279.26927,4566.57373,186.42095,631066.48529,145609.0609,689.76326,310104.71732,,,,3.22129,584902.99836,,,301737.21003,2022.10696,13227.43025,6445.51757,926.79576,,1.30008,50.38602,19271.56383,9002.72534,
2022-08-01,6125133.56922,739.80839,7152564.57702,182591.63772,12645477.17842,2688549.27687,634150.69964,17224.72437,,75295.62162,242533.54335,38098.03368,1197433.85573,25887.55255,1233435.24606,1078233.80153,1594135.86226,405090.17295,62345.95095,769403.6699,3030353.85964,830782.43644,520705.51894,86657.30165,49377.8334,9172.81994,19278530.91282,,5119.97037,1354668.90468,1266364.74473,18276.9982,338413.02835,16763027.21095,2359585.99291,1531407.231,775002.90957,977719.23724,2777637.80289,,323227.67908,129818.6526,8901612.8248,5520678.31772,15784.23278,187.4771,695988.45914,180820.92942,,371016.31733,,,,9138.07344,697300.17116,,,378300.78587,34376.85245,9813.93941,7818.44398,877.64773,,983.22168,2748.39618,37541.8497,,295114.19417
2022-09-01,6421096.51301,687.0746,7182600.579,182351.6605,12556058.48825,2676135.92581,622263.26872,17354.49674,,68693.00779,240994.9516,36734.03888,1198205.76006,27923.37937,1240789.7246,1070589.3056,1578301.96552,396228.86541,45762.048,768596.60721,3040522.67842,830487.35694,519687.3801,86085.29995,48970.33235,7258.53847,19297675.07618,,6173.82265,1354104.84564,1350893.55647,16535.6966,321031.39079,16826905.6181,2473311.4379,1490438.60858,767267.23888,984979.73949,2795976.72789,,331276.72991,126995.14255,8719457.82389,5526410.50538,16256.79421,189.32974,701560.42832,198466.92452,,,,,,9263.71625,670205.32977,,,379764.73318,32695.2166,9564.3311,7575.83183,861.07231,,992.79459,51.22991,36734.47995,,291447.41641
2022-10-01,6513647.22102,696.31191,7179951.77216,175803.99202,12513959.41855,2661092.79697,611131.30697,17413.59648,,60215.31539,234265.75806,32891.79357,1197604.92777,25833.07018,1229713.52778,1120770.5864,1553955.47702,380536.59807,2109.31374,768496.35681,3050353.9397,787373.40666,515429.9294,87313.88448,47399.05319,11177.53761,18973848.97718,,6594.75668,1353495.08493,1677326.60831,16287.05966,291281.28513,13611888.86248,2461758.03935,1456186.48465,807194.76612,991894.87742,2813864.47211,,359435.89289,125736.06973,8705922.96611,5530968.77259,18262.41674,191.76046,857486.27004,220601.70838,,,,,,9385.4334,650616.72661,,,381187.31538,32236.04978,9458.29184,7617.29276,847.00817,,1006.54578,3447.75373,37057.76871,,289141.67939
2022-06-01,4936026.71888,767.77236,7175659.77015,190684.7848,11006326.59832,2584181.48588,518957.7765,17216.32301,,84310.03729,212191.85722,35056.84706,1673656.4339,41952.33471,1083237.29447,1109358.1844,1333018.91568,357280.98821,68337.54115,618175.52544,2495564.66198,832149.3958,464610.48144,85451.29205,42186.01861,10672.39658,16456558.90575,,6222.62476,1399639.24677,1148719.8373,16429.34418,339970.85135,14998230.81547,2156475.39905,1586986.8693,799140.19225,770240.0481,2751828.02445,,322682.46957,140154.71277,7483921.62098,4424072.31161,19655.70375,185.92564,645617.08411,176123.29075,,315926.2132,,,,9168.68869,591821.17921,,,321493.97191,11828.89033,12137.68988,7874.70865,891.43233,,975.60919,2.15278,37037.30725,,138818.19924
2022-07-01,5550666.66922,764.6687,7173806.30257,187430.343,11081060.08841,2566350.44171,515936.81006,5091.29713,,80204.01492,209989.47457,33086.54179,982028.95403,36506.55719,1076762.21787,1065829.75265,1307115.31294,350299.06825,68317.11594,618018.69732,2495906.71716,830711.70568,459739.89575,85054.16936,41351.26273,8842.74037,16447781.70169,,5727.66724,1356297.78829,1250354.66759,22862.62713,344303.89795,13273045.92781,2148733.29503,1554580.80858,807663.3612,779298.35339,2759211.48342,,322866.06371,134704.47496,7464929.27321,4430352.11431,10231.35289,185.08073,654512.86211,174212.9719,,308622.384,,,,9017.76957,578591.5449,,,322614.15053,30933.41269,9813.87585,7774.13869,891.3169,,971.40649,2.08333,37255.51655,,225046.23673
