,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2023-01,1034273.90242,625612.14254,553941.1811500001,1070139.66463,664788.37244,197278.01688,26482.103720000003,175971.02735000002,168809.70248,39946.811050000004,252473.56771,18465.99516,286524.55293999997
2023-02,1763185.52316,1075779.05745,1009781.95566,2018373.09694,1268389.41314,446778.97575,53555.56908,391715.00804,365256.79007000005,114995.22188,485817.63334,34692.21913,532258.61623
2023-03,3205515.4559500003,1654825.4588499998,1670918.5376,2923949.8114899998,1932320.2360800002,832512.27615,209694.56728,672454.7182799999,666288.57398,253067.92024,694649.38435,67965.26341,743549.1471599999
2023-04,3973870.0345,1975603.37241,2145908.01748,3813951.28424,2385652.2562,968437.18112,201665.33826,865710.74946,732202.90949,314309.50811999995,872878.2938699999,76033.6014,932217.95431
2023-05,5428466.05962,2322864.4396200003,2707186.26725,4743906.9584,2741936.85374,1174159.20085,416112.22757,1039190.90467,795101.2243400001,469590.55965,1093020.18419,107808.15173000001,1156072.1426499998
2023-06,7376574.205130001,2771929.7393400003,3216234.75461,5918567.42992,3027617.2779200003,1687705.31861,476863.12765000004,1405162.82941,873204.9424299999,536245.38662,1346660.6391699999,124184.16791999999,1390869.17521
2023-07,8448878.12708,3240408.3935499997,3668161.01328,6895586.92835,3197104.30769,1669912.51537,549985.8162199999,1485002.26722,977662.25766,559947.75414,1579221.5756799998,141894.97865,1643637.2426099998
2023-08,8897893.14538,3905839.7556700003,4133421.6336,7899504.5768,3257381.01596,1929320.60158,801994.8636,2111262.43083,1138269.73124,591066.55369,1830221.3494,160986.61953000003,1803625.84511
2023-09,9483537.16259,4519741.148250001,4626004.47795,7622046.78888,3852619.4579600003,1837159.48592,769788.78444,2337233.04641,1298608.61855,1005344.92671,2087484.0471799998,181132.78923999998,1978010.19587
2023-10,10421887.906539999,5182510.60146,5231903.03453,7486700.60343,3926784.67615,2189774.25856,732693.72361,2139749.70327,1486496.77104,947468.38726,2361751.89937,205695.36049999998,2118832.9132600003
2023-11,11780744.299579998,6353978.16244,5706699.44668,8686320.538530001,4008401.32101,2831326.97396,875737.12733,2617676.07743,1807744.44068,1093054.6299299998,2645391.3537100004,222783.6066,2677335.90349
2023-12,12851747.70882,7806249.98224,6823565.47862,11779353.87312,3623568.11628,2962029.41378,968712.4026799999,2951966.6573300003,2055162.704,1092995.29362,3069529.7759700003,263836.22251999995,2734386.2150499998
2024-01,590002.93279,617004.58355,455531.02204999997,1317556.44856,-263724.00778000004,229322.70676,51313.03799,83501.04550000001,43229.47448,-28745.09724,207924.43377,12744.24094,221345.91545
2024-02,1146501.22238,1219262.23637,869412.7314800001,2386398.12528,-407185.44699,420804.40063,164728.16220999998,241671.75083,104440.10754,-262.08249,391733.99477,34642.42351,702849.15385
2024-03,2094283.18495,1666197.60148,1508975.55666,3336368.13123,-174006.63262000002,420825.55830000003,721134.67289,724300.2712600001,235889.8974,313563.64911,605685.90494,60087.32783,578946.32366
2024-04,2812718.6212299997,2376117.70708,1890284.44782,4219825.557580001,-149341.19196,747488.17062,856468.2076300001,975628.79372,569272.44372,407107.81865000003,884073.20468,90256.51603,833301.61316
2024-05,3819330.73572,3159436.27826,2448551.6527,5086528.39865,33828.45028,997892.41727,1031352.9849500001,768086.0979,813341.86461,609598.21948,1171577.55498,120019.30136,1158505.87174
