,raiffeisen,fuib,ukrsibbank,universal,agricole,otp,citibank,pivdenny,kredobank,procredit,tascombank,ing,a - bank
2023-05,57342237.04976,0,52888404.359069996,11982660.599000001,28791519.24864,30760992.64125,36019726.0274,11506301.424999999,18112759.56384,4006993.16002,10012493.16953,1322005.65573,8801348.3314
2023-06,59566208.804239996,0,62610674.33215,15652943.009,34803795.79767,30918206.72118,33018082.191779997,14007671.3,20226711.12425,3309221.36701,11666875.32966,1740964.36913,9629341.1121
2023-07,66742068.70907999,0,64345380.14775,16092402,35402989.223160006,35727966.36208,36017753.42466,10004931.5,13575123.97293,5698159.44226,12369267.11739,1646943.8461499999,9125245.392879998
2023-08,67548559.33258,0,71403178.60474999,15469868.297999999,36131616.85,36979907.25602,41520465.75342,9254561.637500001,15634293.4442,5357446.69222,11480689.775659999,1335465.7216,8992524.69221
2023-09,65603604.027270004,0,70013113.25708,13897519.438,31985183.34793,33138274.350580003,39534630.13699,3853375.3335,19323823.06771,4927352.06124,7561074.60264,1293127.0803,8622676.338440001
2023-10,59658081.25363,0,71983151.87723,13448557.8338,36841191.56603,33448902.594550002,39517315.068490006,1200526.032,15547138.12472,5519613.71567,5884659.9605600005,1195755.1656,9011276.41721
2023-11,63497127.71941999,0,78530891.56351,13071685.4597,34726634.44052,33683919.54136,44019287.671229996,6402805.504,18959889.02037,5406282.27161,7070578.432229999,1315231.1367,9373952.55401
2023-12,67345495.26087,0,82600349.63451,20369072.8063,40217304.89264,33999240.897539996,40049315.068490006,6057458.924,21365340.554640003,6164914.279200001,9457655.91738,935435.9016,9217954.72935
2024-01,70556923.81816,0,85179156.98967,15397017.8429,41943018.16698,37419423.37685,40016393.44262,4651905.756,18921092.78812,6509825.06922,7102909.864,1269133.57046,8376451.53959
2024-02,61654048.61459,0,88935823.34255001,15498740.59625,44577606.969239995,34369647.54998,37515368.85246,8053299.212,17924971.20631,7582128.25519,9503893.48,1245424.80976,9633470.49496
2024-03,56878572.71039,0,86134001.91013,14967618.501950001,42866057.83081,30785059.43345,36042786.88525,5706774.564,25451369.675119996,7671684.883730001,6908200.788,715324.61839,7796819.43688
2024-04,51955198.8631,0,85247684.79626,14506883.154,43104324.73859,26483095.01181,37013647.54098,1000368.85,19689030.11078,8009124.477729999,6702471.295,685354.84825,8078637.57565
2024-05,47172894.886089996,0,87756589.89915,14861542.69125,38449654.03247,30793976.27602,42515676.229509994,9253411.862499999,24423552.11919,7957265.89617,5001777.600000001,849730.4057,8684691.58321
