Date,Інше (для фізичних осіб (у т. ч. суб`єктів незалежної професійної діяльності) та нерезидентів),"Сільське господарство, мисливство та надання пов'язаних із ними послуг",Добування металевих руд,Виробництво харчових продуктів,Виробництво напоїв,Виробництво іншої неметалевої мінеральної продукції,"Виробництво машин і устатковання, н.в.і.у.","Виробництво автотранспортних засобів, причепів і напівпричепів",Ремонт і монтаж машин і устатковання,"Постачання електроенергії, газу, пари та кондиційованого повітря",Будівництво будівель,Будівництво споруд,"Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами","Надання фінансових послуг, крім страхування та пенсійного забезпечення","Страхування, перестрахування та недержавне пенсійне забезпечення, крім обов'язкового соціального страхування",Допоміжна діяльність у сферах фінансових послуг і страхування,"Оренда, прокат і лізинг",Діяльність охоронних служб та проведення розслідувань,Обслуговування будинків і територій,Охорона здоров'я,"Ремонт комп'ютерів, побутових виробів і предметів особистого вжитку",Операції з нерухомим майном,"Діяльність у сфері спорту, організування відпочинку та розваг",Виробництво хімічних речовин і хімічної продукції,Надання інформаційних послуг,Лісове господарство та лісозаготівлі,Виробництво гумових і пластмасових виробів,Наземний і трубопровідний транспорт,Діяльність у сферах архітектури та інжинірингу; технічні випробування та дослідження,Рибне господарство,Спеціалізовані будівельні роботи,"Комп'ютерне програмування, консультування та пов'язана з ними діяльність","Адміністративна та допоміжна офісна діяльність, інші допоміжні комерційні послуги",Складське господарство та допоміжна діяльність у сфері транспорту
2021-11-01,84680.20012,76584.61865,24998.94835,2048.51296,96314.75477,,,14.6876,,556690.92735,70957.3218,,17900.13733,533206.63516,1463.47523,8039.87137,913.51267,13115.57618,51536.21633,924.90752,10343.5311,,247374.99638,913.74968,860.9392,84389.42589,321.87329,999.20072,349.71277,2335.7994,907.8552,5029.72603,2486.49965,,,
2021-12-01,111528.80611,96600.55358,24998.94835,3667.4669,116054.56584,,,,202.21555,472334.0197,69994.61452,,16161.02545,591107.65147,4549.77193,13840.66281,614.74463,11232.03413,52592.63775,941.87659,10329.18093,,248329.2446,708.74009,,52327.879,324.33904,750.131,349.65067,2014.48608,877.86792,,2449.75214,,,
2022-01-01,156959.78716,99382.65202,24998.94835,3027.18449,120352.03111,,,,,344505.78036,66951.92921,,16900.54712,515749.6766,9626.40066,12289.08839,990.93381,11030.00383,7970.43387,515.55601,6663.92196,25.05801,249315.30109,508.34155,493.02207,82373.0752,66.88699,,849.65067,2687.10755,,,12175.16982,,,
2022-02-01,86344.62089,32478.59765,24998.94834,2710.07137,124537.95748,,,,,484049.3052,58872.60998,,13210.8532,586323.52127,11554.64323,11729.25461,950.44438,11108.53421,7638.35295,952.96837,9403.4999,,250301.35759,10.25115,,87086.33808,,618.10761,849.65067,3130.26563,,,12208.13422,,,
2022-03-01,121487.96447,54002.35944,25348.9081,2670.04436,126522.24027,,,,,515760.66098,67298.33781,,17411.10952,692617.7695,11450.75952,10970.46317,,,7739.24748,826.38612,9736.07921,,251191.98926,3912.61399,,81013.73204,,804.76732,858.80827,2449.19889,,,12223.78523,,,
2022-06-01,95072.61326,62447.15088,25092.33265,2957.60651,123046.43591,,,,75.23612,376650.50023,70002.52011,,16498.2831,664611.49141,1232.086,11031.45583,,,8070.75806,468.2588,10196.48515,,254118.35046,2848.12513,,76931.95731,,838.2683,909.65065,2155.93466,,,12721.97686,1.58844,,
2022-07-01,95377.499,112310.30344,25089.32026,2097.47345,89723.04671,,,,,315018.30245,70157.55195,,15809.44464,738015.29877,4839.06001,9672.4242,,,8178.85933,527.08406,10451.29315,,255072.59868,,,76781.37001,,847.34157,909.65065,2166.63085,,,12841.36841,,,
2022-08-01,119540.51783,153807.81262,19010.01951,2395.51569,89757.06954,,,,127.16258,386243.68531,73243.25763,,11428.50274,710934.51578,10910.22314,9651.20635,,,8295.7948,1007.90143,10547.57958,,256058.65517,,,89479.78654,,855.78586,920.5054,2210.05178,,,12972.20098,,,
2022-09-01,81094.65765,166912.55818,18715.94837,2246.25005,89757.06953,,,,225.76378,367382.9974,76225.06435,,14384.39947,697870.64706,11105.40603,9628.66007,,,8388.81406,805.96626,10701.54514,,257044.71167,,,89837.41114,,828.04292,920.5054,1540.10591,,,10452.52596,,,
2022-10-01,80662.61469,165269.77779,17215.18771,1723.25217,89723.04672,,,,,349524.9472,80800.63675,,14064.8626,704673.40153,10901.72744,9268.71322,,,8497.0722,1000.33707,10748.30728,,257998.95989,,,89487.90053,,837.13792,909.65065,1028.01694,,,10544.28124,,,
2022-11-01,36784.04574,167512.81008,17215.18771,1438.01826,89757.06954,,,,198.89355,276686.00983,80361.40505,,13640.46616,634375.09636,1593.48579,8766.40018,,,8634.96964,979.38772,10674.85726,,257998.95989,,,80973.5824,,819.673,909.65065,141.81761,,,10666.11382,,,
2022-12-01,18275.30559,166018.37923,17215.18771,894.87228,,,,,226.24808,275934.9864,76670.62253,,10725.54563,748638.86755,757.29646,8362.07408,,,8768.41878,573.05133,10903.47717,,257998.95989,,,73979.03191,,828.93273,909.15467,35.13364,,,10792.72598,,,
2023-01-01,97989.61222,167740.06411,17215.1874,,,,,,250.25888,169305.60206,80863.37253,,13233.77312,661083.68236,4359.19055,9263.8737,,,8906.31623,967.67914,10920.26901,,257998.95989,,,73631.8892,,808.71075,909.15467,,,,10923.55855,,,
2023-02-01,,171180.98691,15716.70718,789.57936,,,,,299.26973,227171.41934,81823.88343,,13165.48546,709202.01559,10210.71915,5820.19772,,,8856.55057,1000.76242,10736.51497,,257998.95989,,,73051.22053,,808.67793,909.15467,,,,11054.39112,,,
